time,open,high,low,close,volume
2022-10-13 11:00:00,136.33,136.78,136.23,136.28,1119716
2022-10-13 10:55:00,136.5148,136.5975,136.07,136.33,1448237
2022-10-13 10:50:00,136.0663,136.66,135.95,136.51,1563623
2022-10-13 10:45:00,136.12,136.49,135.99,136.03,1397036
2022-10-13 10:40:00,135.88,136.23,135.62,136.13,1144124
2022-10-13 10:35:00,135.775,136.23,135.6701,135.8757,1220830
2022-10-13 10:30:00,136.07,136.195,135.73,135.7704,1043613
2022-10-13 10:25:00,136.05,136.32,135.9,136.06,1197301
2022-10-13 10:20:00,136.815,136.82,136.02,136.04,1515039
2022-10-13 10:15:00,136.44,136.89,136.25,136.8,1398445
2022-10-13 10:10:00,136.5055,136.71,136.21,136.43,1393439
2022-10-13 10:05:00,136.25,136.55,136.03,136.5,1201092
2022-10-13 10:00:00,135.94,136.27,135.68,136.26,1297294
2022-10-13 09:55:00,135.7,136.395,135.58,135.94,1900623
2022-10-13 09:50:00,135.32,135.77,135.0,135.67,2735536
2022-10-13 09:45:00,135.275,135.8,135.0,135.28,1922613
2022-10-13 09:40:00,135.91,135.96,134.96,135.285,2255139
2022-10-13 09:35:00,134.99,135.94,134.37,135.9212,5013777
2022-10-13 09:30:00,134.13,135.0,134.13,134.99,225819
2022-10-13 09:25:00,134.0138,134.27,133.88,134.1,186229
2022-10-13 09:20:00,134.3,134.38,134.0,134.0399,137128
2022-10-13 09:15:00,134.25,134.5,134.2,134.29,98726
2022-10-13 09:10:00,134.3,134.41,134.02,134.23,104711
2022-10-13 09:05:00,134.45,135.0,134.22,134.28,118473
2022-10-13 09:00:00,134.37,134.61,134.25,134.43,105785
2022-10-13 08:55:00,134.3,134.89,134.19,134.3112,111855
2022-10-13 08:50:00,134.37,134.67,134.0,134.32,204264
2022-10-13 08:45:00,134.92,135.15,134.19,134.35,205998
2022-10-13 08:40:00,134.5,135.24,134.43,134.945,252621
2022-10-13 08:35:00,139.25,139.38,133.2,134.5,769360
2022-10-13 08:30:00,139.38,140.0,139.38,139.38,74432
2022-10-13 08:25:00,139.42,139.5,139.34,139.48,33923
2022-10-13 08:20:00,139.37,139.5,139.34,139.47,47635
2022-10-13 08:15:00,139.31,139.37,139.28,139.37,13933
2022-10-13 08:10:00,139.39,139.4,139.2703,139.28,17126
2022-10-13 08:05:00,138.8,139.429,137.995,139.4,89001
2022-10-13 08:00:00,139.35,139.36,139.25,139.27,11835
2022-10-13 07:55:00,139.18,139.37,139.15,139.36,20375
2022-10-13 07:50:00,139.15,139.21,139.1,139.18,6249
2022-10-13 07:45:00,139.3,139.36,139.14,139.14,12405
2022-10-13 07:40:00,138.95,139.45,138.95,139.36,32369
2022-10-13 07:35:00,138.9,139.1,138.89,138.94,22258
2022-10-13 07:30:00,138.86,138.89,138.83,138.85,9445
2022-10-13 07:25:00,138.98,138.98,138.88,138.88,3797
2022-10-13 07:20:00,138.87,139.0,138.87,138.99,23365
2022-10-13 07:15:00,138.8,138.85,138.79,138.85,4784
2022-10-13 07:10:00,138.79,138.8,138.77,138.77,4859
2022-10-13 07:05:00,138.82,138.85,138.75,138.75,23011
2022-10-13 06:55:00,138.89,138.97,138.8,138.97,8430
2022-10-13 06:50:00,138.92,138.98,138.92,138.96,2634
2022-10-13 06:45:00,138.79,138.85,138.79,138.82,3172
2022-10-13 06:40:00,138.78,138.79,138.72,138.73,5234
2022-10-13 06:35:00,138.75,138.78,138.75,138.78,691
2022-10-13 06:30:00,138.78,138.79,138.78,138.79,850
2022-10-13 06:20:00,138.73,138.73,138.73,138.73,468
2022-10-13 06:15:00,138.66,138.66,138.66,138.66,279
2022-10-13 06:10:00,138.66,138.66,138.66,138.66,408
2022-10-13 06:05:00,138.62,138.62,138.62,138.62,406
2022-10-13 06:00:00,138.64,138.64,138.61,138.61,2579
2022-10-13 05:55:00,138.71,138.71,138.63,138.65,2144
2022-10-13 05:50:00,138.72,138.72,138.71,138.71,482
2022-10-13 05:45:00,138.78,138.79,138.78,138.79,306
2022-10-13 05:40:00,138.9,138.9,138.74,138.75,3689
2022-10-13 05:35:00,138.88,138.99,138.88,138.99,5646
2022-10-13 05:30:00,138.8,138.8,138.8,138.8,318
2022-10-13 05:25:00,138.88,138.99,138.81,138.81,4630
2022-10-13 05:20:00,138.94,138.97,138.93,138.95,1400
2022-10-13 05:15:00,138.81,139.0,138.81,138.93,4540
2022-10-13 05:10:00,138.81,138.81,138.8,138.8,5052
2022-10-13 05:05:00,138.67,138.9,138.67,138.75,6505
2022-10-13 05:00:00,138.73,138.73,138.67,138.68,842
2022-10-13 04:50:00,138.71,138.71,138.64,138.64,3146
2022-10-13 04:40:00,138.57,138.6,138.53,138.6,2875
2022-10-13 04:35:00,138.67,138.69,138.59,138.59,13114
2022-10-13 04:30:00,138.52,138.64,138.52,138.64,3294
2022-10-13 04:25:00,138.47,138.55,138.47,138.55,3523
2022-10-13 04:15:00,138.36,138.46,138.36,138.46,2581
